revision_id,revision_timestamp,building_id,forward_patch,reverse_patch,user
274983,2023-07-04 00:18:30+02,41991,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274984,2023-07-04 00:18:30+02,42240,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274985,2023-07-04 00:18:31+02,41808,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274986,2023-07-04 00:18:32+02,43894,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274987,2023-07-04 00:18:33+02,44069,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274988,2023-07-04 00:18:33+02,43309,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274989,2023-07-04 00:18:34+02,44224,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274990,2023-07-04 00:18:35+02,41976,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274991,2023-07-04 00:18:35+02,41868,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274992,2023-07-04 00:18:36+02,42360,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274993,2023-07-04 00:18:37+02,42857,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274994,2023-07-04 00:18:38+02,42143,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274995,2023-07-04 00:18:39+02,44055,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274996,2023-07-04 00:18:41+02,42241,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
275059,2023-07-04 19:01:30+02,62212,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275060,2023-07-04 19:01:31+02,63423,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275063,2023-07-04 19:01:36+02,61743,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275061,2023-07-04 19:01:32+02,63672,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275062,2023-07-04 19:01:33+02,62714,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275064,2023-07-04 19:01:56+02,63117,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275065,2023-07-04 19:01:57+02,62352,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275066,2023-07-04 19:01:58+02,63038,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275067,2023-07-04 19:01:58+02,61342,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275068,2023-07-04 19:01:59+02,62823,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275069,2023-07-04 19:02:00+02,61437,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275070,2023-07-04 19:02:00+02,63601,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275071,2023-07-04 19:02:01+02,61661,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275072,2023-07-04 19:02:02+02,63541,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275073,2023-07-04 19:02:04+02,62983,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275074,2023-07-04 19:02:05+02,62430,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275075,2023-07-04 19:02:07+02,61769,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275076,2023-07-04 19:02:08+02,61718,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275077,2023-07-04 19:02:09+02,63001,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275078,2023-07-04 19:02:10+02,62622,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275079,2023-07-04 19:02:13+02,62527,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275080,2023-07-04 19:02:14+02,62509,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275081,2023-07-04 19:02:14+02,62919,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275082,2023-07-04 19:02:15+02,63329,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275083,2023-07-04 19:02:16+02,63060,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275084,2023-07-04 19:02:16+02,61460,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275085,2023-07-04 19:02:17+02,62764,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
